Category,Category_Name,Country
601,Home Page,de
172601,Auto & Motor,de
100372023,Autoteile & Zubehör,de
173101,Car Hi-Fi,de
100426223,Car Hi-Fi Zubehör,de
100278823,GPS,de
173801,Motorradzubehör,de
173701,"Motorräder, Roller & Quads",de
100354123,Neuwagen & Gebrauchtwagen,de
100384023,Reifen & Felgen,de
100450123,Baby & Kleinkind,de
100513023,Unterwegs,de
100450223,Kinderwagen,de
100472023,Kindersitze,de
100513123,Zuhause,de
100508823,Füttern & Stillen,de
100508923,Babypflege & Gesundheit,de
100450823,Babysicherheit,de
132801,Beauty & Gesundheit,de
134201,Augenoptik,de
100477023,Brillen,de
100250023,Kontaktlinsen & Zubehör,de
133101,Beauty,de
100046613,Kosmetik,de
133501,Parfum,de
133001,Drogerieprodukte,de
100367723,Elektrorasierer & Haarschneider,de
100314123,Haarpflege,de
133901,Hygiene,de
133301,Körperpflege,de
133201,Körperpflegezubehör,de
100512823,Zahnpflege,de
133601,Gesundheit,de
100327723,Bad-Elektrogeräte,de
100291623,Gesundheit & Wellness,de
134101,Medikamente,de
110001,Computer & Software,de
100326223,Computer,de
113501,Notebooks,de
100008213,Notebookzubehör,de
111801,PC-Systeme & Barebones,de
115701,Server ,de
114601,PDA- & GPS-Zubehör,de
100282123,Tablets & E-Book-Reader,de
112801,Eingabegeräte,de
113201,Tastaturen,de
113301,Mäuse & Trackballs,de
100239623,PC-Lenkräder,de
100007713,Grafiktabletts,de
100340423,KVM-Switches,de
100282023,Kartenleser,de
100293223,Eingabegerätezubehör,de
113101,Joysticks & Gamepads,de
100330623,Gehäuse & Netzteile,de
100294523,Case Modding,de
100216323,Gehäuse,de
110401,Kabel,de
100066413,Netzteile,de
100005813,USV,de
100330223,Karten,de
100066813,Controller,de
111601,Grafikkarten,de
111501,Soundkarten,de
100066613,TV-Karten,de
110701,Komponenten,de
110801,Lüfter & Kühler,de
111101,Motherboards,de
110901,Prozessoren,de
115801,Laufwerke,de
116001,CD/DVD-Laufwerke,de
116401,Diskettenlaufwerke,de
116501,Festplatten,de
100043413,Streamer,de
100330323,Multimedia,de
100239223,Mikrofone,de
110601,PC-Lautsprecher,de
116901,Webcams,de
100224023,Netzwerke,de
100346323,Netzwerkkomponenten,de
100340223,WLAN,de
100326523,Peripherie,de
100052213,All-in-One Drucker,de
114901,Drucker,de
114401,Monitore & Displays,de
115401,Scanner,de
100316423,Druckerzubehör,de
117001,Software,de
100326323,Speicher,de
100291823,Arbeitsspeicher ,de
100158013,Speicherkarten,de
100260023,USB-Sticks,de
100222423,Verbrauchsmaterial,de
154001,Bürobedarf,de
115901,Leermedien,de
100146713,Papier & Folien,de
100005613,Tinte & Toner,de
136801,Einrichten & Wohnen,de
100567613,Außenleuchten,de
100566313,Badmöbel,de
137001,Betten & Matratzen,de
100389523,Bettwäsche,de
100119813,Bilderrahmen & Alben,de
100007613,Dekoration,de
100441023,Gardinen & Vorhänge,de
141901,Heimtextilien,de
138201,Innenbeleuchtung,de
100376523,Küchenmöbel,de
100567513,Leuchtmittel,de
100358623,Poster & Kunstdrucke,de
136901,Regale & Schränke,de
137901,Sofas & Sessel,de
100440723,Spiegel,de
136201,Teppiche & Auslegware,de
138001,Tische & Stühle,de
100299223,Wanduhren,de
120501,Elektronik & Foto,de
100325623,Foto & Video,de
123501,Camcorder,de
123601,Camcorderzubehör,de
100444023,Digitale Bilderrahmen,de
124901,Digitalkameras,de
124501,Fotozubehör,de
100060013,Hi-Fi & Audio,de
121301,CD-Player,de
123201,Hi-Fi-Anlagen,de
120901,Kopfhörer,de
122301,Lautsprecher,de
122501,Plattenspieler,de
100282623,Radiowecker & Wetterstationen,de
100311523,Tuner,de
121601,Verstärker & AV-Receiver,de
100310623,Heimkino,de
127201,Beamer,de
100345923,Beamerzubehör,de
127701,DVD- & Blu-ray-Player,de
126701,Heimkinosysteme,de
100325523,Fernsehen,de
126901,Fernbedienungen,de
100310723,Fernseh- & Audiozubehör,de
100311823,"LCD-, LED- & 3D-Fernseher",de
100008013,SAT-Receiver & Set-Top-Boxen ,de
122901,Tragbare Audiogeräte,de
100310423,Diktiergeräte,de
122701,MP3-Player & Multimediaplayer,de
122801,MP3-Player-Zubehör,de
100278923,Tragbare CD-Player,de
100282723,Tragbare Radios,de
100471423,Entertainment,de
5101,Bücher & Hörbücher,de
149201,DVD & Blu-ray Filme,de
150701,Musik-CDs,de
100327923,Videospiele & Konsolen,de
6513,Computer- & Videospiele,de
112101,Konsolen,de
112201,Konsolenzubehör,de
128701,Essen & Trinken,de
129801,Alkoholische Getränke,de
100567413,Babynahrung,de
128801,Getränke,de
130401,Lebensmittel,de
132601,Tabakwaren,de
100014113,"Geschenke, Gutscheine & Tickets",de
125301,"Handy, Telefon & Fax",de
100006813,Mobil,de
100010713,Handys mit Vertrag,de
100020213,Handys ohne Vertrag,de
125801,Handyzubehör,de
100016013,Festnetz,de
125601,Faxgeräte,de
126001,Telefone & Anrufbeantworter,de
100331323,Telefonzubehör,de
100570713,Smartwatches,de
134301,Heimwerken & Garten,de
100566213,Arbeitskleidung & Arbeitsschutz,de
143101,Automation & Sicherheitstechnik,de
100567813,Badkeramik & Badzubehör,de
100232023,Baustoffe,de
100233223,Eisenwaren,de
100565213,Elektrotechnik,de
143401,Elektrowerkzeuge,de
126201,Erneuerbare Energien,de
100563013,Solarenergie,de
138301,Gartenbedarf,de
100356623,Gartendekoration,de
100392423,Gartenmaschinen,de
137701,Gartenmöbel,de
143501,Gartenwerkzeug,de
134501,Grillbedarf,de
135901,Handwerkzeuge,de
142101,Haustierbedarf,de
138701,Pflanzen & Bewässerung,de
100371523,Rasenmäher,de
100462723,Swimmingpools & Zubehör,de
144601,Küche & Haushalt,de
100564713,Drogerie,de
144701,Elektro-Großgeräte,de
146301,Backöfen,de
145001,Herde,de
146001,Kochfelder,de
100283023,Dunstabzugshauben,de
141601,Geschirr & Besteck,de
100498923,Haushalt,de
147801,Bügeleisen,de
139401,Haushaltswaren,de
